#### EXPORT DONNEES METEO POUR "SAINT-JACUT-DE-LA-MER" (LAT/LON: 48.59734/-2.190028)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2014-01-01,11,9,54,9,11,11,18.2,91,8.875,1005,73.5,11,10,5,122,356,176,0,2,2.1,météo très défavorable,17:24:00,09:01:00,9
2014-01-02,11,9,32,9,11,10,1.6,83,9.625,1000,63.75,11,10,5,113,122,119,0,2,5.8,météo défavorable,17:25:00,09:01:00,10
2014-01-03,12,9,55,10,11,10,2.1,84,9.25,1004,38.75,12,10,6,116,113,113,0,2,5.8,météo défavorable,17:26:00,09:01:00,10
2014-01-04,10,8,40,10,9,8,6.5,89,7.875,1001,82.5,10,8,4,356,176,113,0,2,2.1,météo défavorable,17:27:00,09:01:00,10
2014-01-05,13,8,41,8,10,13,4.6,91,8.25,1005,67.25,13,12,4,113,176,176,0,3,2.1,météo défavorable,17:28:00,09:01:00,9
2014-01-06,13,10,46,12,12,11,8.1,90,9,1003,49.5,13,11,8,122,113,116,0,3,5.8,météo correcte,17:29:00,09:00:00,12
2014-01-07,12,10,44,11,12,10,1.8,82,9.75,1011,46.625,12,9,7,116,113,122,0,4,5.8,météo défavorable,17:30:00,09:00:00,10
2014-01-08,12,10,36,10,12,12,1.6,89,9.875,1015,36.75,12,11,7,116,113,116,0,3,8.3,météo défavorable,17:32:00,09:00:00,10
2014-01-09,12,8,46,10,10,9,1.1,83,10,1016,48.5,12,11,6,119,116,113,0,2,6.8,météo défavorable,17:33:00,08:59:00,11
2014-01-10,10,7,21,8,10,9,1.1,88,10,1017,16.375,10,7,5,113,113,116,0,3,8.7,météo défavorable,17:34:00,08:59:00,8
2014-01-11,10,8,22,9,10,9,1.1,87,10,1023,23.125,10,7,6,116,116,113,0,2,6.9,météo défavorable,17:36:00,08:58:00,9
2014-01-12,11,7,38,7,10,11,2.2,90,9.875,1021,59.25,11,10,2,113,119,299,0,3,5.1,météo défavorable,17:37:00,08:58:00,8
2014-01-13,10,7,36,8,10,9,3.4,79,9.375,1012,31.75,10,6,4,113,116,176,0,2,6.9,météo défavorable,17:38:00,08:57:00,9
2014-01-14,9,7,24,7,9,8,2.9,71,7.75,1010,59.5,9,8,4,176,116,122,0,2,8.7,météo défavorable,17:40:00,08:57:00,7
2014-01-15,12,10,31,11,12,11,5.9,92,6.25,1007,83.875,12,10,7,176,116,299,0,3,3.3,météo défavorable,17:41:00,08:56:00,11
2014-01-16,11,9,38,9,11,10,0.4,80,9.75,995,41.625,11,7,5,113,122,119,0,3,6.9,météo défavorable,17:42:00,08:55:00,9
2014-01-17,11,8,31,9,9,10,9.3,91,8.75,994,55.25,11,9,5,299,299,299,0,3,5.1,météo défavorable,17:44:00,08:55:00,9
2014-01-18,11,7,31,9,11,9,0.9,85,9.625,992,73.25,11,8,5,116,176,176,0,2,6.9,météo défavorable,17:45:00,08:54:00,9
2014-01-19,9,7,19,7,8,7,0.4,77,10,1001,28,9,4,4,116,113,113,0,2,8.7,météo défavorable,17:47:00,08:53:00,7
2014-01-20,9,7,25,7,9,8,0.2,79,10,1014,40.75,9,5,4,113,119,116,0,3,6.9,météo défavorable,17:48:00,08:52:00,7
2014-01-21,10,6,36,6,8,9,0.5,83,8.875,1014,57.875,10,9,2,113,119,176,0,3,6.9,météo défavorable,17:50:00,08:51:00,6
2014-01-22,10,9,28,9,10,9,1.8,84,9.375,1015,63,10,8,6,176,116,176,0,2,8.7,météo défavorable,17:51:00,08:50:00,9
2014-01-23,10,8,35,8,10,9,1.5,90,9,1020,71.625,10,8,5,116,119,122,0,2,3.4,météo défavorable,17:53:00,08:49:00,8
2014-01-24,11,9,31,10,11,11,8.6,97,8.375,1020,100,11,11,7,305,305,176,0,2,3.4,météo défavorable,17:54:00,08:48:00,9
2014-01-25,11,9,38,10,11,11,0.6,93,10,1022,40.875,11,10,7,116,113,116,0,3,8.7,météo défavorable,17:56:00,08:47:00,10
2014-01-26,11,7,49,9,11,9,2.1,92,8.75,1022,53.375,11,10,5,122,299,116,0,3,3.4,météo défavorable,17:57:00,08:46:00,9
2014-01-27,9,6,50,7,8,8,4.4,73,9.5,1002,57.125,9,4,2,176,116,116,0,2,6.9,météo défavorable,17:59:00,08:45:00,6
2014-01-28,9,7,42,8,9,8,2.8,78,9.75,993,66.25,9,5,3,119,119,176,0,2,9.6,météo défavorable,18:00:00,08:43:00,8
2014-01-29,9,7,26,8,9,8,1.6,82,9.875,997,56.875,9,5,4,116,116,176,0,2,4.8,météo défavorable,18:02:00,08:42:00,7
2014-01-30,8,6,17,6,8,6,1,82,9.625,1004,41.25,8,4,3,116,116,116,0,3,9.6,météo très défavorable,18:04:00,08:41:00,7
2014-01-31,11,5,45,6,9,10,20,88,7.875,1005,66.375,11,10,1,119,122,356,0,2,4.8,météo très défavorable,18:05:00,08:40:00,5
2014-02-01,10,7,43,7,9,8,20.8,71,9.75,1003,51.375,10,9,2,113,119,116,0,2,9.7,météo très défavorable,18:07:00,08:38:00,9
2014-02-02,10,7,31,7,10,8,0.1,77,10,1011,20.875,10,5,3,113,113,113,0,3,9.7,météo défavorable,18:08:00,08:37:00,7
2014-02-03,8,7,45,7,8,8,2.8,88,9.125,1007,63.25,8,7,2,116,122,305,0,3,6.6,météo très défavorable,18:10:00,08:35:00,7
2014-02-04,9,6,43,6,9,8,4,78,9.625,1001,43.125,9,6,2,113,113,176,0,2,9.8,météo défavorable,18:12:00,08:34:00,6
2014-02-05,10,7,54,7,9,9,9.1,83,7.875,997,52.75,10,7,2,116,305,113,0,2,9.8,météo défavorable,18:13:00,08:32:00,8
2014-02-06,11,8,40,8,10,11,21.5,94,8.125,999,80.5,11,10,3,299,356,356,0,3,4.9,météo très défavorable,18:15:00,08:31:00,8
2014-02-07,10,8,48,8,9,9,11.6,73,8.125,1001,63.625,10,9,3,176,116,119,0,2,9.9,météo défavorable,18:17:00,08:29:00,8
2014-02-08,10,7,53,9,9,8,16,77,9.5,989,47.5,10,9,3,113,116,116,0,2,9.9,météo très défavorable,18:18:00,08:28:00,10
2014-02-09,9,7,52,7,9,8,4.4,66,9.5,995,49.125,9,6,2,116,116,176,0,2,8.3,météo défavorable,18:20:00,08:26:00,7
2014-02-10,9,7,34,7,9,8,4.9,81,8.625,1005,49.5,9,6,5,176,113,116,0,2,9.9,météo défavorable,18:21:00,08:25:00,7
2014-02-11,9,7,45,9,9,8,13,89,9.25,1006,69.125,9,6,3,122,305,113,0,3,8.3,météo défavorable,18:23:00,08:23:00,7
