#### EXPORT DONNEES METEO POUR "SAINT-JACUT-DE-LA-MER" (LAT/LON: 48.59734/-2.190028)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2021-01-01,6,3,17,5,6,5,1.9,67,9.875,1015,76.875,6,1,1,176,122,176,0,1,2.1,météo très défavorable,17:24:00,09:01:00,3
2021-01-02,7,4,26,5,7,7,5,84,8.625,1019,92.25,7,4,3,176,176,122,0,1,2.1,météo très défavorable,17:25:00,09:01:00,5
2021-01-03,6,1,19,5,6,4,3.9,79,10,1017,89.875,6,3,2,299,176,122,0.9,1,2.1,météo très défavorable,17:26:00,09:01:00,5
2021-01-04,6,3,27,6,6,6,1.4,88,8.875,1018,100,6,4,1,176,176,176,0.5,1,2.1,météo très défavorable,17:27:00,09:01:00,6
2021-01-05,6,2,32,5,6,4,0.7,88,8.75,1020,100,6,4,0,176,299,299,0.4,1,2.1,météo très défavorable,17:28:00,09:01:00,6
2021-01-06,5,3,12,5,5,4,0.1,79,9.375,1021,83.5,5,3,2,122,119,116,0.1,1,5.8,météo très défavorable,17:30:00,09:00:00,5
2021-01-07,4,1,9,3,4,4,1.1,88,9.75,1020,67.625,4,2,0,116,122,122,0.3,1,5,météo très défavorable,17:31:00,09:00:00,3
2021-01-08,6,3,14,4,5,5,4.8,86,9.625,1020,75.25,6,2,1,119,119,176,0,1,3.1,météo très défavorable,17:32:00,09:00:00,3
2021-01-09,6,2,32,2,6,6,0,77,10,1027,73.625,6,2,-2,116,122,119,0,1,8.3,météo très défavorable,17:33:00,08:59:00,2
2021-01-10,7,4,17,6,7,6,0,67,10,1028,64.375,7,2,3,119,119,116,0,2,8.7,météo très défavorable,17:35:00,08:59:00,6
