#### EXPORT DONNEES METEO POUR "SAINT-JACUT-DE-LA-MER" (LAT/LON: 48.59734/-2.190028)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2018-01-01,11,9,52,9,10,10,11.6,85,9.125,1015,54.625,11,7,5,176,356,113,0,2,3.9,météo défavorable,17:24:00,09:01:00,10
2018-01-02,14,9,37,9,13,12,1.9,93,8,1017,81.25,14,12,6,122,122,122,0,4,2.1,météo défavorable,17:25:00,09:01:00,9
2018-01-03,14,10,57,11,11,11,7.4,77,9.5,1013,84,14,11,6,176,119,299,0,3,2.1,météo défavorable,17:26:00,09:01:00,12
2018-01-04,14,11,54,13,13,11,26.5,89,7.625,1005,80.25,14,12,8,356,299,116,0,3,3.9,météo très défavorable,17:27:00,09:01:00,14
2018-01-05,11,8,33,10,10,9,1.3,78,9.875,1000,39.25,11,7,5,122,113,116,0,2,5.8,météo défavorable,17:28:00,09:01:00,10
2018-01-06,9,6,16,7,9,8,0.8,77,9.875,1013,40.25,9,5,6,113,116,116,0,2,5.8,météo défavorable,17:29:00,09:00:00,7
2018-01-07,9,8,55,9,8,8,1.5,84,9,1018,99.75,9,6,3,176,176,176,0,3,2.1,météo défavorable,17:31:00,09:00:00,9
2018-01-08,8,7,33,7,8,8,0.1,89,10,1018,72.25,8,6,3,122,122,116,0,2,3.1,météo très défavorable,17:32:00,09:00:00,7
2018-01-09,11,6,26,7,10,10,1.8,91,8.875,1011,64.625,11,9,3,119,119,122,0,3,3.1,météo défavorable,17:33:00,08:59:00,6
2018-01-10,10,9,23,9,10,10,2.1,82,9.875,1008,32.25,10,7,5,113,113,113,0,2,6.9,météo défavorable,17:34:00,08:59:00,9
2018-01-11,10,8,30,9,10,8,0.4,86,10,1025,78,10,7,6,176,116,122,0,2,5.1,météo défavorable,17:36:00,08:58:00,9
2018-01-12,8,6,23,6,8,8,0.1,85,10,1026,47.5,8,5,4,113,116,119,0,2,6.9,météo très défavorable,17:37:00,08:58:00,7
2018-01-13,7,6,33,6,6,7,0.3,83,6.875,1020,75.875,7,4,1,116,176,176,0,2,5.1,météo très défavorable,17:38:00,08:57:00,6
2018-01-14,8,7,15,7,8,7,0.2,81,9,1019,54.625,8,4,4,119,116,116,0,2,8.7,météo très défavorable,17:40:00,08:57:00,7
2018-01-15,12,7,50,10,12,11,8.6,90,8.5,1017,78,12,11,6,176,299,176,0,4,3.3,météo défavorable,17:41:00,08:56:00,9
2018-01-16,11,7,49,11,10,9,6.5,75,10,1007,90.5,11,8,5,176,299,176,0,2,3.3,météo défavorable,17:42:00,08:55:00,11
2018-01-17,10,8,49,8,9,9,7.1,69,8.625,1018,73.5,10,6,3,116,119,116,0,2,5.1,météo défavorable,17:44:00,08:54:00,8
2018-01-18,12,9,51,12,11,9,6.3,87,9,1013,82.75,12,10,7,176,122,176,0,3,3.3,météo défavorable,17:45:00,08:54:00,12
2018-01-19,9,8,36,8,9,8,3.2,73,9.75,1016,61.375,9,4,3,176,176,176,0,3,6.9,météo défavorable,17:47:00,08:53:00,8
2018-01-20,12,8,55,12,12,12,25.8,93,7.5,1014,85.875,12,11,8,356,122,119,0,3,3.4,météo très défavorable,17:48:00,08:52:00,8
2018-01-21,13,10,42,11,13,12,3.7,95,5.75,1016,95.125,13,11,9,176,122,122,0,4,3.4,météo défavorable,17:50:00,08:51:00,10
2018-01-22,13,10,53,13,11,10,8.4,90,9.875,1023,63.5,13,12,7,122,119,113,0,3,3.4,météo correcte,17:51:00,08:50:00,13
2018-01-23,13,10,33,12,13,13,0.5,92,10,1022,72.5,13,12,9,119,176,119,0,4,6.9,météo défavorable,17:53:00,08:49:00,11
2018-01-24,13,10,50,13,13,11,5.6,89,8.75,1018,75.25,13,11,9,122,176,176,0,3,3.4,météo défavorable,17:54:00,08:48:00,13
2018-01-25,10,9,33,9,10,9,1.1,80,9.875,1013,29.375,10,6,5,113,119,113,0,2,5.2,météo défavorable,17:56:00,08:47:00,9
2018-01-26,9,8,33,8,9,8,2.7,76,9.5,1029,56.125,9,5,4,116,176,119,0,2,8.7,météo défavorable,17:57:00,08:46:00,8
2018-01-27,11,7,34,7,9,11,1.6,90,8,1033,85.5,11,11,4,122,176,122,0,2,5.2,météo défavorable,17:59:00,08:45:00,8
2018-01-28,12,10,23,11,12,11,0.5,95,9,1038,63.875,12,11,9,119,116,116,0,3,6.5,météo défavorable,18:01:00,08:43:00,11
2018-01-29,12,10,31,11,12,11,0.6,91,10,1036,52.75,12,10,8,116,113,119,0,4,6.5,météo défavorable,18:02:00,08:42:00,11
2018-01-30,12,10,29,10,12,11,4.3,93,7,1033,87.5,12,11,8,122,176,116,0,3,4.8,météo défavorable,18:04:00,08:41:00,10
2018-01-31,11,7,43,11,11,8,12.2,92,7.625,1022,82.625,11,10,6,299,176,116,0,2,6.5,météo défavorable,18:05:00,08:39:00,11
2018-02-01,8,6,41,8,8,7,11.7,74,9.625,1013,64.5,8,4,3,299,116,113,0,2,9.7,météo très défavorable,18:07:00,08:38:00,8
2018-02-02,8,7,32,7,8,7,6.7,73,9.625,1016,43.75,8,4,3,113,116,119,0,2,9.7,météo très défavorable,18:08:00,08:37:00,7
2018-02-03,9,7,41,7,9,8,9.3,88,9.625,1015,67.875,9,6,3,176,176,116,0,2,4.9,météo défavorable,18:10:00,08:35:00,7
2018-02-04,8,6,41,7,7,7,4.6,80,10,1026,94.5,8,4,1,299,122,176,0,2,9.8,météo très défavorable,18:12:00,08:34:00,8
2018-02-05,6,5,28,5,6,5,1,74,9.875,1026,68.875,6,2,-0,119,176,176,0.7,1,6.6,météo très défavorable,18:13:00,08:32:00,5
2018-02-06,5,4,33,5,5,4,4.8,79,10,1020,82.125,5,1,-1,299,176,176,1.9,1,8.3,météo très défavorable,18:15:00,08:31:00,5
2018-02-07,6,5,40,5,6,5,4.1,74,9.625,1023,46.875,6,1,-1,299,113,113,0.7,1,8.3,météo très défavorable,18:17:00,08:29:00,5
2018-02-08,8,4,22,4,7,7,0.2,74,10,1023,47,8,3,1,113,116,116,0,1,9.9,météo très défavorable,18:18:00,08:28:00,4
2018-02-09,9,6,44,8,7,7,9.2,76,9.625,1022,53.875,9,7,1,299,113,113,0,3,9.9,météo défavorable,18:20:00,08:26:00,9
2018-02-10,11,6,34,6,9,10,2.9,86,8.75,1022,80.75,11,10,2,119,122,122,0,2,5,météo défavorable,18:21:00,08:25:00,6
2018-02-11,11,6,40,8,8,6,4.6,70,8.5,1017,66.875,11,9,2,119,176,176,0,2,10,météo défavorable,18:23:00,08:23:00,10
2018-02-12,8,5,23,5,8,6,4.1,66,9.625,1020,19.75,8,1,1,176,113,113,0,2,10,météo très défavorable,18:25:00,08:21:00,5
2018-02-13,8,6,49,7,8,7,9.5,80,9.75,1011,55.125,8,4,2,299,176,113,0,3,8.3,météo très défavorable,18:26:00,08:20:00,7
