#### EXPORT DONNEES METEO POUR "SAINT-JACUT-DE-LA-MER" (LAT/LON: 48.59734/-2.190028)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2020-01-01,10,8,13,9,9,9,0.4,93,9.25,1029,70.875,10,9,7,119,119,116,0,2,2.1,météo défavorable,17:23:00,09:01:00,10
2020-01-02,11,8,26,9,10,11,0,85,10,1028,56.75,11,8,5,116,113,122,0,2,3.9,météo défavorable,17:24:00,09:01:00,9
2020-01-03,11,7,32,11,10,8,0.7,86,8.625,1035,76.375,11,10,6,119,122,119,0,2,2.1,météo défavorable,17:25:00,09:01:00,11
2020-01-04,10,7,15,8,9,9,0.1,75,10,1039,43.875,10,5,6,113,116,119,0,2,5.8,météo défavorable,17:27:00,09:01:00,8
2020-01-05,8,6,14,6,7,7,0,82,10,1038,8.25,8,4,3,113,113,113,0,3,5.8,météo très défavorable,17:28:00,09:01:00,6
2020-01-06,10,5,27,5,8,10,0.2,84,8,1031,31.25,10,9,1,113,113,122,0,3,5.8,météo très défavorable,17:29:00,09:01:00,6
2020-01-07,13,7,23,8,11,13,0.1,89,10,1028,56.875,13,11,6,116,119,122,0,2,3.9,météo correcte,17:30:00,09:00:00,9
2020-01-08,13,10,22,12,13,13,0.2,91,8.375,1024,80.125,13,12,10,119,119,122,0,3,5,météo défavorable,17:31:00,09:00:00,12
2020-01-09,13,8,33,13,13,9,13.8,88,7.375,1019,87,13,11,7,122,176,122,0,3,3.1,météo défavorable,17:32:00,09:00:00,13
2020-01-10,9,7,39,9,9,8,2.8,74,9.875,1031,68.875,9,6,5,119,119,116,0,2,6.8,météo défavorable,17:34:00,08:59:00,9
2020-01-11,10,7,28,7,9,9,0,83,10,1032,12.875,10,6,3,113,113,113,0,3,8.7,météo défavorable,17:35:00,08:59:00,7
2020-01-12,11,9,32,11,11,10,0.9,87,9.75,1024,61.25,11,9,8,122,116,119,0,4,3.3,météo défavorable,17:36:00,08:58:00,11
2020-01-13,11,8,43,8,10,11,3.9,80,9.375,1022,67.125,11,9,4,113,122,176,0,3,3.3,météo défavorable,17:38:00,08:58:00,8
2020-01-14,13,10,50,10,12,13,22.7,87,6.25,1002,97.125,13,11,7,122,176,176,0,3,3.3,météo très défavorable,17:39:00,08:57:00,10
2020-01-15,12,8,33,10,10,9,34.7,88,9.375,1017,72.5,12,9,6,356,176,116,0,2,3.3,météo très défavorable,17:40:00,08:56:00,12
2020-01-16,12,8,40,10,12,12,3.8,89,8.25,1020,67.875,12,10,6,116,122,305,0,4,3.3,météo défavorable,17:42:00,08:56:00,9
2020-01-17,11,6,35,9,8,8,18.8,84,9.5,1025,68.625,11,9,4,119,119,119,0,2,3.3,météo très défavorable,17:43:00,08:55:00,10
2020-01-18,8,7,22,7,8,7,0.7,74,9.875,1034,47.5,8,4,5,119,116,113,0,2,8.7,météo très défavorable,17:45:00,08:54:00,8
2020-01-19,8,7,29,7,8,8,0,71,10,1046,21.25,8,3,3,113,113,113,0,3,8.7,météo très défavorable,17:46:00,08:53:00,7
2020-01-20,8,7,25,7,8,8,0,78,10,1048,17.375,8,4,4,116,113,113,0,3,8.7,météo très défavorable,17:48:00,08:52:00,7
2020-01-21,7,6,19,7,7,7,0,70,10,1044,16,7,3,3,116,113,113,0,2,8.7,météo très défavorable,17:49:00,08:51:00,7
2020-01-22,8,6,29,7,7,8,0,76,10,1039,11.75,8,3,3,116,113,113,0,2,8.7,météo très défavorable,17:51:00,08:50:00,6
