#### EXPORT DONNEES METEO POUR "SAINT-JACUT-DE-LA-MER" (LAT/LON: 48.59734/-2.190028)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2011-01-01,7,4,19,4,7,6,0,87,10,1025,41.75,7,4,1,113,119,119,0,2,5.8,météo très défavorable,17:24:00,09:01:00,4
2011-01-02,8,5,14,7,8,6,0.6,88,10,1028,86.375,8,6,4,119,122,122,0,1,3.9,météo très défavorable,17:25:00,09:01:00,7
2011-01-03,6,3,29,3,4,5,0.9,88,3.875,1027,94.625,6,3,-1,176,176,122,0,2,2.1,météo très défavorable,17:26:00,09:01:00,4
2011-01-04,7,4,19,4,6,6,0.8,79,10,1020,42.875,7,4,0,116,116,113,0,1,5.8,météo très défavorable,17:27:00,09:01:00,5
2011-01-05,10,4,34,4,9,10,2.5,93,7.75,1010,65.625,10,9,-1,119,122,176,0,2,2.1,météo très défavorable,17:28:00,09:01:00,4
2011-01-06,12,10,37,10,12,10,6.1,95,6.625,999,90.625,12,11,8,122,119,122,0,3,2.1,météo défavorable,17:29:00,09:01:00,11
2011-01-07,12,10,39,11,12,10,2.7,92,9.875,1000,66.5,12,10,7,176,116,176,0,3,3.9,météo défavorable,17:30:00,09:00:00,11
2011-01-08,10,7,41,10,9,8,1.1,93,9,1008,67.625,10,9,5,122,122,113,0,2,3.1,météo défavorable,17:31:00,09:00:00,10
2011-01-09,9,6,21,7,9,7,0.5,79,10,1019,17.875,9,4,3,113,113,113,0,2,8.3,météo défavorable,17:33:00,09:00:00,7
2011-01-10,9,6,42,7,9,8,0.7,87,9.75,1019,51.625,9,8,3,116,116,176,0,3,6.9,météo défavorable,17:34:00,08:59:00,6
2011-01-11,10,7,39,9,9,8,2.2,94,9,1019,54.625,10,9,4,176,116,113,0,2,5.1,météo défavorable,17:35:00,08:59:00,10
2011-01-12,12,8,36,11,12,12,2,96,5,1019,84.5,12,11,7,119,119,122,0,4,3.3,météo défavorable,17:36:00,08:58:00,10
2011-01-13,12,11,36,12,12,11,0.7,95,8.375,1016,68,12,11,8,122,119,116,0,3,5.1,météo défavorable,17:38:00,08:58:00,12
2011-01-14,11,9,36,11,11,9,9.1,95,8.5,1019,68.25,11,10,7,122,305,116,0,3,5.1,météo défavorable,17:39:00,08:57:00,11
2011-01-15,11,9,34,9,11,10,0.1,93,10,1021,42.5,11,10,5,116,116,116,0,3,8.7,météo défavorable,17:41:00,08:56:00,9
2011-01-16,12,10,34,10,12,11,0.5,94,9.875,1020,53.375,12,10,6,116,119,119,0,3,6.9,météo défavorable,17:42:00,08:56:00,10
2011-01-17,11,9,29,11,11,10,4.9,94,9.125,1020,63.125,11,10,7,299,113,116,0,3,5.1,météo défavorable,17:43:00,08:55:00,10
2011-01-18,9,7,35,8,8,7,0.3,82,10,1033,40.5,9,8,4,119,113,113,0,2,6.9,météo défavorable,17:45:00,08:54:00,9
2011-01-19,7,6,22,6,7,6,0,78,10,1035,3.125,7,3,2,113,113,113,0,2,8.7,météo très défavorable,17:46:00,08:53:00,6
2011-01-20,8,6,26,6,8,7,0.4,86,10,1036,53.875,8,4,2,116,119,119,0,3,3.4,météo très défavorable,17:48:00,08:52:00,6
