#### EXPORT DONNEES METEO POUR "SAINT-JACUT-DE-LA-MER" (LAT/LON: 48.59734/-2.190028)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2017-01-01,10,7,28,8,10,10,0.2,87,10,1027,86.625,10,7,5,119,116,122,0,3,2.1,météo défavorable,17:24:00,09:01:00,8
2017-01-02,9,7,32,9,9,8,1.3,89,6,1030,87.75,9,7,4,176,122,119,0,3,3.9,météo défavorable,17:25:00,09:01:00,9
2017-01-03,7,4,12,5,6,5,0,76,10,1032,30.75,7,2,2,116,113,113,0,2,5.8,météo très défavorable,17:26:00,09:01:00,6
2017-01-04,9,5,26,7,9,9,0.4,81,10,1030,63.625,9,6,3,116,122,122,0,3,2.1,météo défavorable,17:27:00,09:01:00,7
2017-01-05,8,5,20,8,7,6,0.2,83,9,1036,57.75,8,5,3,122,119,113,0,1,5.8,météo très défavorable,17:28:00,09:01:00,8
2017-01-06,7,4,20,4,6,6,0,76,10,1037,34.75,7,3,-0,113,116,122,0,2,5.8,météo très défavorable,17:30:00,09:00:00,4
2017-01-07,10,6,27,7,10,9,1.5,83,10,1037,94.5,10,8,3,122,119,122,0,2,3.1,météo défavorable,17:31:00,09:00:00,6
2017-01-08,11,9,21,10,11,10,1.4,93,7.375,1035,77.625,11,10,7,119,119,119,0,2,3.1,météo défavorable,17:32:00,09:00:00,9
2017-01-09,11,9,35,9,11,11,6.7,89,9.5,1032,75.625,11,9,6,116,122,122,0,2,5,météo défavorable,17:33:00,08:59:00,10
2017-01-10,11,10,37,10,11,11,0.9,85,9,1017,99.25,11,10,6,122,122,122,0,2,3.3,météo défavorable,17:35:00,08:59:00,10
2017-01-11,12,9,38,12,11,10,0.6,92,10,1021,90.75,12,11,7,122,122,122,0,3,3.3,météo défavorable,17:36:00,08:58:00,12
2017-01-12,10,5,53,9,10,7,15.4,87,6.875,1021,96.875,10,8,5,176,122,299,0,2,3.3,météo défavorable,17:37:00,08:58:00,9
2017-01-13,7,5,49,7,7,7,18.7,69,9,1022,50.375,7,1,1,299,113,116,0,2,6.9,météo très défavorable,17:39:00,08:57:00,6
2017-01-14,9,7,37,7,9,9,5.9,74,9.5,1027,59.5,9,5,2,176,116,176,0,2,6.9,météo défavorable,17:40:00,08:57:00,7
2017-01-15,11,9,36,9,10,11,5.7,83,9,1027,98.75,11,8,6,122,176,122,0,2,3.3,météo défavorable,17:41:00,08:56:00,9
2017-01-16,11,9,32,11,11,11,4.3,90,6,1029,100,11,9,7,122,176,176,0,2,3.3,météo défavorable,17:43:00,08:55:00,11
2017-01-17,9,4,19,6,6,4,0,83,9,1036,53.5,9,7,2,122,116,113,0,1,8.7,météo très défavorable,17:44:00,08:54:00,8
2017-01-18,6,4,32,4,6,6,0,65,10,1036,5.375,6,0,-1,113,113,113,0,2,8.7,météo très défavorable,17:46:00,08:53:00,5
2017-01-19,6,3,34,6,6,5,0,62,10,1035,5.375,6,0,1,113,113,113,0,2,8.7,météo très défavorable,17:47:00,08:53:00,6
2017-01-20,4,1,26,2,4,2,0,75,10,1032,2.5,4,0,-2,113,113,113,0,2,8.7,météo très défavorable,17:49:00,08:52:00,2
2017-01-21,5,0,8,0,4,4,0,73,10,1028,5.25,5,0,-2,113,113,113,0,2,8.7,météo très défavorable,17:50:00,08:51:00,0
2017-01-22,7,3,15,3,6,5,0,67,10,1027,9.875,7,0,-1,113,113,113,0,2,8.7,météo très défavorable,17:52:00,08:50:00,3
2017-01-23,8,3,7,4,8,6,0,65,10,1029,4.875,8,1,2,113,113,113,0,2,8.7,météo très défavorable,17:53:00,08:49:00,3
2017-01-24,8,3,12,3,8,6,0,62,10,1030,35.5,8,0,0,113,116,122,0,2,5.2,météo très défavorable,17:55:00,08:48:00,3
2017-01-25,6,1,18,2,6,4,0,72,10,1028,2.25,6,1,-1,113,113,113,0,2,8.7,météo très défavorable,17:56:00,08:47:00,2
2017-01-26,6,0,37,0,4,5,0,78,10,1021,0,6,0,-7,113,113,113,0,2,8.7,météo très défavorable,17:58:00,08:45:00,0
2017-01-27,8,3,32,3,8,7,2.8,91,9.125,1009,71.25,8,6,-2,116,299,305,0,2,5.2,météo très défavorable,17:59:00,08:44:00,4
2017-01-28,10,7,27,8,10,8,4.6,79,7.75,1017,56.125,10,7,4,119,113,176,0,2,9.6,météo défavorable,18:01:00,08:43:00,8
2017-01-29,11,7,40,8,11,11,11.3,89,7,1017,83,11,10,4,119,176,356,0,3,6.5,météo défavorable,18:02:00,08:42:00,7
2017-01-30,12,11,22,11,12,12,5.5,96,8.125,1011,91,12,11,9,122,176,176,0,3,4.8,météo défavorable,18:04:00,08:40:00,11
2017-01-31,12,11,25,12,12,11,9.1,94,4.75,1012,88.25,12,11,9,176,299,119,0,3,4.8,météo défavorable,18:06:00,08:39:00,12
2017-02-01,12,10,31,10,11,11,4.9,93,9.625,1010,91.125,12,10,8,176,122,122,0,3,4.8,météo défavorable,18:07:00,08:38:00,11
2017-02-02,12,9,48,11,12,11,7.5,87,8.625,1001,60.125,12,9,7,299,113,116,0,3,8.2,météo défavorable,18:09:00,08:36:00,11
2017-02-03,11,8,50,9,11,9,4.2,82,9.625,999,54.625,11,8,4,122,299,113,0,3,6.6,météo défavorable,18:10:00,08:35:00,9
2017-02-04,10,7,26,8,9,9,19,75,8.5,1002,62,10,6,5,356,116,299,0,2,9.8,météo très défavorable,18:12:00,08:34:00,7
2017-02-05,9,7,45,7,8,9,22.1,93,8.375,1016,85.625,9,6,3,305,356,122,0,2,8.3,météo très défavorable,18:14:00,08:32:00,8
2017-02-06,11,7,35,8,7,9,8.1,88,9,1020,82.5,11,11,3,122,176,122,0,2,4.9,météo défavorable,18:15:00,08:31:00,8
2017-02-07,11,8,26,9,10,9,6.9,78,9.625,1020,46.5,11,10,6,113,176,122,0,2,9.9,météo défavorable,18:17:00,08:29:00,10
2017-02-08,9,7,27,7,9,7,1.4,82,9.875,1029,60,9,4,3,119,119,119,0,2,6.6,météo défavorable,18:19:00,08:28:00,8
2017-02-09,6,4,26,4,6,6,0,83,10,1028,61.875,6,3,1,116,116,122,0,2,8.3,météo très défavorable,18:20:00,08:26:00,5
2017-02-10,6,4,31,4,6,5,0.1,84,10,1023,61.875,6,3,-1,116,119,122,0,2,9.9,météo très défavorable,18:22:00,08:24:00,5
2017-02-11,5,4,29,4,5,5,1.8,79,9.875,1024,98,5,2,-1,176,176,122,1,1,5,météo très défavorable,18:23:00,08:23:00,5
2017-02-12,8,4,40,5,5,6,1.3,80,6.75,1020,78.375,8,6,-1,122,122,122,0,1,6.7,météo très défavorable,18:25:00,08:21:00,4
2017-02-13,12,9,40,9,11,11,0.8,81,8,1012,81,12,8,5,116,119,122,0,3,5,météo défavorable,18:27:00,08:19:00,9
2017-02-14,12,10,21,10,12,11,2.5,95,7.75,1024,58.75,12,9,7,299,116,113,0,3,6.7,météo défavorable,18:28:00,08:18:00,10
2017-02-15,12,9,22,9,11,10,3.7,93,9.75,1031,55,12,9,7,299,113,116,0,4,8.3,météo défavorable,18:30:00,08:16:00,9
2017-02-16,11,7,10,8,9,10,0,84,10,1032,43.125,11,7,5,113,119,119,0,2,10,météo défavorable,18:32:00,08:14:00,8
2017-02-17,12,8,9,8,11,10,0,91,10,1030,64.5,12,8,7,116,122,116,0,2,8.4,météo défavorable,18:33:00,08:13:00,8
2017-02-18,11,7,21,7,9,9,0,85,10,1026,19,11,7,4,113,119,113,0,3,10.2,météo défavorable,18:35:00,08:11:00,8
2017-02-19,11,7,21,8,11,10,0,91,10,1026,40.5,11,9,5,113,113,122,0,3,10,météo défavorable,18:37:00,08:09:00,7
2017-02-20,12,10,26,11,11,11,1.4,97,10,1025,92.875,12,11,8,122,122,119,0,3,5.2,météo défavorable,18:38:00,08:07:00,11
2017-02-21,12,10,28,10,11,11,0.4,93,10,1025,94.625,12,10,7,122,122,122,0,3,5.2,météo défavorable,18:40:00,08:05:00,10
2017-02-22,11,10,35,11,11,11,0.2,89,10,1021,94.75,11,9,7,122,122,122,0,3,5.2,météo défavorable,18:41:00,08:04:00,10
2017-02-23,11,9,46,11,10,9,1.1,87,10,1013,88.5,11,9,6,122,119,119,0,3,6.8,météo défavorable,18:43:00,08:02:00,11
2017-02-24,10,8,28,8,9,8,0.3,69,10,1022,52,10,4,4,119,116,113,0,2,10.5,météo défavorable,18:45:00,08:00:00,8
2017-02-25,11,7,31,7,11,10,0,82,10,1022,51.125,11,7,4,116,116,119,0,3,10.9,météo défavorable,18:46:00,07:58:00,7
2017-02-26,11,10,34,11,11,11,0.1,94,10,1013,88.875,11,10,7,122,122,122,0,3,5.5,météo défavorable,18:48:00,07:56:00,11
2017-02-27,11,7,46,10,9,8,12.2,84,8.125,1004,83.625,11,9,4,356,176,176,0,2,5.5,météo défavorable,18:49:00,07:54:00,11
2017-02-28,10,6,48,7,9,9,2.6,71,9.75,1004,66,10,5,2,176,176,176,0,2,10.1,météo défavorable,18:51:00,07:52:00,7
2017-03-01,12,9,40,9,12,10,12.4,92,9.125,1009,81.5,12,10,5,176,122,119,0,3,5.5,météo défavorable,18:53:00,07:50:00,9
2017-03-02,11,8,31,8,11,9,0.1,73,10,1016,29.625,11,6,4,116,113,116,0,3,10.1,météo défavorable,18:54:00,07:48:00,8
2017-03-03,12,8,31,11,12,10,6.7,89,7.375,1008,75.125,12,9,7,119,116,122,0,3,7.1,météo défavorable,18:56:00,07:47:00,10
2017-03-04,10,8,42,8,10,9,3.5,78,9.25,999,50.25,10,6,4,113,119,176,0,2,8.6,météo défavorable,18:57:00,07:45:00,8
2017-03-05,10,8,54,9,10,10,6.4,87,8.375,1007,78.125,10,7,4,299,122,119,0,3,8.6,météo défavorable,18:59:00,07:43:00,8
2017-03-06,10,7,47,8,7,10,17.8,93,8.5,1018,76.5,10,7,3,356,299,119,0,2,7.3,météo très défavorable,19:00:00,07:41:00,8
2017-03-07,11,8,25,9,8,10,5.2,91,5.875,1021,98.375,11,11,5,122,176,176,0,2,5.8,météo défavorable,19:02:00,07:39:00,9
2017-03-08,12,11,37,12,12,12,1.6,93,9,1021,98,12,11,8,122,122,122,0,3,5.8,météo défavorable,19:04:00,07:37:00,12
2017-03-09,13,10,26,11,12,12,1.7,95,7,1026,85.25,13,11,9,122,122,116,0,3,5.9,météo défavorable,19:05:00,07:35:00,12
2017-03-10,14,10,18,10,13,12,1.2,93,10,1026,46.375,14,10,9,176,116,113,0,3,10.2,météo correcte,19:07:00,07:32:00,10
2017-03-11,13,10,19,10,13,12,0,92,10,1020,68.875,13,11,7,116,122,122,0,4,7.3,météo défavorable,19:08:00,07:30:00,10
2017-03-12,11,9,31,10,10,10,11.5,96,7.75,1023,75,11,10,7,176,176,116,0,2,5.9,météo défavorable,19:10:00,07:28:00,10
2017-03-13,10,9,24,9,10,9,0,85,10,1035,10.625,10,7,5,116,113,113,0,2,11.6,météo défavorable,19:11:00,07:26:00,9
2017-03-14,11,9,14,9,11,11,0.3,96,10,1036,65.75,11,10,7,116,116,122,0,3,7.4,météo défavorable,19:13:00,07:24:00,9
2017-03-15,11,9,9,9,11,10,0.3,96,7,1036,71.875,11,10,8,119,122,116,0,3,6,météo défavorable,19:14:00,07:22:00,9
2017-03-16,13,7,9,8,12,10,0,89,10,1029,29,13,9,7,113,113,116,0,4,11.6,météo correcte,19:16:00,07:20:00,9
