#### EXPORT DONNEES METEO POUR "SAINT-JACUT-DE-LA-MER" (LAT/LON: 48.59734/-2.190028)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2010-01-01,6,4,35,5,5,5,3.1,78,7.75,1013,78.75,6,3,0,176,176,113,0.8,1,3.9,météo très défavorable,17:24:00,09:01:00,6
2010-01-02,6,2,20,3,6,5,0.3,68,10,1021,17.75,6,0,-1,113,113,113,0,2,5.8,météo très défavorable,17:25:00,09:01:00,2
2010-01-03,7,4,33,4,5,6,0,61,10,1020,42.625,7,1,-1,116,116,116,0,1,5.8,météo très défavorable,17:26:00,09:01:00,4
2010-01-04,3,2,31,2,3,2,0,65,9.75,1020,2.375,3,0,-4,113,113,113,0,2,5.8,météo très défavorable,17:27:00,09:01:00,2
2010-01-05,5,1,27,2,4,4,1.1,76,9.875,1014,53.125,5,2,-3,116,116,122,0,2,5.8,météo très défavorable,17:28:00,09:01:00,1
2010-01-06,4,3,27,4,4,4,7.7,81,5,1005,66.375,4,1,-3,122,299,119,6.5,1,5.8,météo très défavorable,17:29:00,09:00:00,4
2010-01-07,4,2,40,2,4,4,1.3,74,5.25,1016,71.75,4,1,-4,176,176,113,0.2,1,5.8,météo très défavorable,17:30:00,09:00:00,3
2010-01-08,4,3,40,4,4,3,2.1,81,2.75,1022,70.375,4,0,-3,116,122,176,0.8,2,5,météo très défavorable,17:32:00,09:00:00,4
2010-01-09,3,2,41,2,3,3,6.7,81,0,1023,100,3,1,-4,176,299,299,3.4,1,3.1,météo très défavorable,17:33:00,08:59:00,3
2010-01-10,5,1,33,4,5,4,5.2,87,6,1019,93.25,5,3,-1,299,176,122,4.4,1,3.3,météo très défavorable,17:34:00,08:59:00,4
2010-01-11,2,0,15,-0,2,1,0.1,87,10,1018,37,2,0,-4,116,116,113,0.1,1,6.9,météo très défavorable,17:35:00,08:58:00,0
2010-01-12,4,0,48,1,1,2,10,92,7.75,1017,70,4,4,-7,116,122,356,0,2,5.1,météo très défavorable,17:37:00,08:58:00,1
2010-01-13,9,6,24,8,9,7,5,85,9.125,1001,47.625,9,7,4,113,116,299,0,2,6.9,météo défavorable,17:38:00,08:57:00,8
2010-01-14,8,5,18,5,8,7,2.1,92,9.875,1013,63.75,8,6,5,122,119,116,0,2,3.3,météo très défavorable,17:40:00,08:57:00,5
2010-01-15,10,5,33,7,10,9,0,88,10,1018,29.625,10,7,3,116,113,116,0,3,6.9,météo défavorable,17:41:00,08:56:00,5
2010-01-16,12,7,47,9,12,11,9.2,92,7,1012,67.625,12,10,5,356,176,305,0,3,6.9,météo défavorable,17:42:00,08:55:00,7
2010-01-17,10,8,30,9,10,9,0.2,88,9.875,1025,24.375,10,8,5,116,116,113,0,3,8.7,météo défavorable,17:44:00,08:55:00,8
2010-01-18,8,6,14,7,7,8,0,85,10,1026,14,8,6,3,113,113,116,0,3,8.7,météo très défavorable,17:45:00,08:54:00,7
2010-01-19,7,5,36,5,7,7,0.8,80,9.875,1023,45,7,5,-0,113,116,176,0,2,8.7,météo très défavorable,17:47:00,08:53:00,5
2010-01-20,10,8,31,9,10,8,5.8,89,9.25,1016,34,10,7,5,299,113,113,0,2,8.7,météo défavorable,17:48:00,08:52:00,8
2010-01-21,10,7,28,7,10,9,1,86,8.625,1019,51.625,10,8,3,113,116,122,0,3,6.9,météo défavorable,17:50:00,08:51:00,7
