#### EXPORT DONNEES METEO POUR "SAINT-JACUT-DE-LA-MER" (LAT/LON: 48.59734/-2.190028)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2024-01-01,12,8,42,8,10,12,1.9,85,7.75,1009,82.75,12,10,5,176,266,266,0,3,1,météo défavorable,17:23:00,09:01:00,9
2024-01-02,14,11,66,13,14,12,4.6,88,8.5,999,92.5,14,12,9,296,296,176,0,3,3,météo défavorable,17:24:00,09:01:00,13
2024-01-03,11,10,54,11,11,10,0.7,80,10,1006,70.5,11,8,7,116,353,176,0,3,2,météo défavorable,17:26:00,09:01:00,11
2024-01-04,10,8,26,9,9,9,3.7,92,9.75,1008,89.25,10,8,6,122,296,176,0,2,2,météo défavorable,17:27:00,09:01:00,9
2024-01-05,10,8,18,8,10,9,0.7,83,9.875,1009,82.625,10,5,5,176,176,176,0,2,6,météo défavorable,17:28:00,09:01:00,8
2024-01-06,9,8,31,9,9,8,1,72,10,1022,73.625,9,5,5,176,176,353,0,2,3,météo défavorable,17:29:00,09:01:00,9
2024-01-07,8,6,32,8,7,6,0.3,73,10,1029,89.875,8,3,2,176,176,176,0,2,1,météo très défavorable,17:30:00,09:00:00,8
2024-01-08,7,4,36,5,5,5,0.2,66,10,1030,70.75,7,2,-1,113,116,119,0,2,3,météo très défavorable,17:31:00,09:00:00,7
2024-01-09,3,2,27,2,2,3,0.5,93,6.5,1028,88.75,3,1,-4,176,230,227,0.3,1,1,météo très défavorable,17:32:00,09:00:00,3
2024-01-10,5,2,29,3,3,4,0,62,10,1026,43,5,0,-4,116,113,116,0.1,2,9,météo très défavorable,17:34:00,08:59:00,2
2024-01-11,7,2,32,4,6,7,0,75,10,1034,38.875,7,3,-2,113,119,119,0,3,7,météo très défavorable,17:35:00,08:59:00,2
2024-01-12,8,7,29,7,7,8,0.1,75,10,1035,92.25,8,4,3,176,176,176,0,2,1,météo très défavorable,17:36:00,08:58:00,7
2024-01-13,6,3,14,4,5,4,0,81,10,1030,2.5,6,3,0,113,113,113,0,2,9,météo très défavorable,17:38:00,08:58:00,5
2024-01-14,6,4,6,4,5,6,0.6,67,9,1022,72.25,6,2,2,116,116,176,0,1,3,météo très défavorable,17:39:00,08:57:00,4
2024-01-15,7,4,27,7,6,4,0,64,10,1017,44.375,7,2,1,119,113,113,0,2,8,météo très défavorable,17:40:00,08:56:00,6
2024-01-16,4,2,21,3,3,4,1.1,72,9.875,1016,68.75,4,1,-2,176,113,176,0,1,9,météo très défavorable,17:42:00,08:56:00,4
2024-01-17,7,4,30,6,7,6,18.1,96,8.5,996,100,7,6,2,296,296,296,0,2,1,météo très défavorable,17:43:00,08:55:00,5
2024-01-18,6,4,39,4,5,5,0.1,56,10,1018,48.875,6,2,-2,113,116,176,0,2,9,météo très défavorable,17:45:00,08:54:00,5
2024-01-19,6,3,11,5,6,5,0,56,10,1027,26.125,6,0,2,113,176,113,0,2,7,météo très défavorable,17:46:00,08:53:00,5
2024-01-20,6,2,28,2,4,5,0,69,10,1028,35.75,6,0,-3,113,113,113,0,2,8,météo très défavorable,17:48:00,08:52:00,2
2024-01-21,13,7,42,11,11,12,0.5,90,9,1021,79.875,13,9,7,176,116,122,0,3,6,météo défavorable,17:49:00,08:51:00,8
2024-01-22,13,9,52,12,10,10,1.8,78,8.875,1029,57,13,11,6,176,353,113,0,3,5,météo correcte,17:51:00,08:50:00,13
2024-01-23,14,9,42,10,13,13,0.1,90,10,1029,86.25,14,12,7,122,122,176,0,3,1,météo défavorable,17:52:00,08:49:00,9
2024-01-24,13,11,36,12,12,12,0.1,86,10,1033,81.125,13,11,9,122,122,116,0,3,2,météo défavorable,17:54:00,08:48:00,13
2024-01-25,13,11,27,11,12,12,0.2,88,10,1031,75.5,13,11,9,176,122,116,0,3,3,météo défavorable,17:55:00,08:47:00,11
2024-01-26,13,7,45,10,9,8,0.3,77,9,1038,43.875,13,11,5,113,113,113,0,2,8,météo correcte,17:57:00,08:46:00,13
2024-01-27,9,6,22,6,7,9,0,82,10,1037,40,9,6,2,116,116,116,0,3,7,météo défavorable,17:58:00,08:45:00,6
2024-01-28,13,8,21,8,11,12,0,77,10,1026,35,13,9,5,113,113,122,0,4,8,météo correcte,18:00:00,08:44:00,8
2024-01-29,13,10,29,11,12,13,0,86,10,1023,50.375,13,10,7,116,122,116,0,4,8,météo correcte,18:01:00,08:43:00,11
2024-01-30,10,8,21,10,10,9,0.2,74,10,1034,80.875,10,7,7,176,176,122,0,2,3,météo défavorable,18:03:00,08:41:00,9
2024-01-31,12,6,18,6,10,12,0,84,10,1035,47.75,12,9,3,113,116,176,0,2,6,météo défavorable,18:05:00,08:40:00,7
2024-02-01,11,9,23,10,11,10,0,96,10,1037,66.125,11,10,7,176,176,116,0,4,2,météo défavorable,18:06:00,08:39:00,11
2024-02-02,12,8,19,8,11,11,0,92,10,1037,50.375,12,10,6,119,116,119,0,3,1,météo défavorable,18:08:00,08:37:00,8
2024-02-03,12,9,21,9,11,11,0,93,10,1035,15.75,12,9,6,113,113,113,0,3,10,météo défavorable,18:09:00,08:36:00,9
2024-02-04,12,9,23,10,11,11,0,90,10,1034,43.5,12,9,7,119,113,113,0,3,9,météo défavorable,18:11:00,08:35:00,10
