#### EXPORT DONNEES METEO POUR "SAINT-JACUT-DE-LA-MER" (LAT/LON: 48.59734/-2.190028)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2019-01-01,10,8,15,8,10,10,1.1,84,10,1038,87.75,10,7,6,122,122,119,0,2,2.1,météo défavorable,17:24:00,09:01:00,9
2019-01-02,11,6,22,10,9,7,0.6,80,10,1042,87.375,11,8,5,119,122,119,0,2,2.1,météo défavorable,17:25:00,09:01:00,11
2019-01-03,7,5,19,5,7,7,0,74,10,1042,44.5,7,3,2,116,116,119,0,1,5.8,météo très défavorable,17:26:00,09:01:00,6
2019-01-04,7,5,16,5,7,6,0,75,10,1042,21.625,7,3,2,113,113,116,0,2,5.8,météo très défavorable,17:27:00,09:01:00,6
2019-01-05,7,5,7,6,7,6,0,78,10,1041,32.625,7,3,4,116,113,113,0,2,5.8,météo très défavorable,17:28:00,09:01:00,6
2019-01-06,9,5,15,6,7,8,1.3,79,9,1040,89.875,9,6,3,122,122,122,0,2,2.1,météo défavorable,17:29:00,09:00:00,6
2019-01-07,10,9,24,9,10,9,0.9,81,10,1039,93.625,10,7,7,122,122,122,0,2,2.1,météo défavorable,17:30:00,09:00:00,9
2019-01-08,11,8,33,11,10,9,1,91,10,1034,79.375,11,10,7,122,119,119,0,2,3.1,météo défavorable,17:31:00,09:00:00,11
2019-01-09,8,7,26,8,8,7,0.9,76,10,1031,83.125,8,5,3,122,119,122,0,2,3.1,météo très défavorable,17:33:00,08:59:00,8
2019-01-10,7,6,15,6,7,7,0.5,72,10,1032,84.875,7,3,3,122,122,116,0,2,3.3,météo très défavorable,17:34:00,08:59:00,7
2019-01-11,10,8,23,10,10,9,2,81,9.875,1033,85,10,7,6,119,122,176,0,2,3.3,météo défavorable,17:35:00,08:59:00,9
2019-01-12,11,9,32,9,11,11,2,88,10,1033,89,11,9,7,119,122,122,0,2,3.3,météo défavorable,17:37:00,08:58:00,9
2019-01-13,11,11,40,11,11,11,0.6,91,10,1027,97.625,11,9,7,122,122,122,0,3,3.3,météo défavorable,17:38:00,08:57:00,11
2019-01-14,12,8,30,10,10,9,1.1,76,10,1026,90.375,12,9,6,122,122,122,0,2,3.3,météo défavorable,17:39:00,08:57:00,10
2019-01-15,9,7,17,8,9,8,0.1,83,10,1026,85,9,6,5,122,116,122,0,2,5.1,météo défavorable,17:41:00,08:56:00,8
2019-01-16,11,7,29,8,10,10,2,86,8.875,1017,79.5,11,8,5,122,122,176,0,2,5.1,météo défavorable,17:42:00,08:55:00,8
2019-01-17,9,6,35,8,8,6,2.3,74,9.75,1020,59.5,9,4,3,176,176,122,0,2,8.7,météo défavorable,17:43:00,08:55:00,8
2019-01-18,7,5,35,6,6,7,8.6,85,9,1020,71.875,7,6,-0,119,122,305,0,1,6.9,météo très défavorable,17:45:00,08:54:00,5
2019-01-19,10,8,22,8,10,9,10.7,85,8.75,1010,58,10,6,4,122,116,116,0,2,5.1,météo défavorable,17:46:00,08:53:00,8
