#### EXPORT DONNEES METEO POUR "SAINT-JACUT-DE-LA-MER" (LAT/LON: 48.59734/-2.190028)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2022-01-01,14,13,25,13,14,13,0.2,88,10,1021,77.25,14,12,11,122,176,176,0,4,5.8,météo défavorable,17:24:00,09:01:00,14
2022-01-02,14,12,35,14,12,12,0,86,10,1021,60.75,14,11,9,122,113,116,0,3,5.8,météo correcte,17:25:00,09:01:00,14
2022-01-03,12,10,27,12,10,10,7.2,95,8.625,1020,91.75,12,9,7,176,299,356,0,3,2.1,météo défavorable,17:26:00,09:01:00,11
2022-01-04,11,7,41,10,8,7,3.4,95,8.625,1016,100,11,10,4,122,176,122,0,2,2.1,météo défavorable,17:27:00,09:01:00,11
2022-01-05,8,7,32,7,8,7,0.4,56,10,1025,67.625,8,0,3,119,116,119,0,2,5.8,météo très défavorable,17:28:00,09:01:00,7
2022-01-06,9,5,32,5,7,8,0.1,70,9,1025,84.875,9,7,1,122,122,176,0,2,3.9,météo très défavorable,17:29:00,09:00:00,6
2022-01-07,10,8,44,8,9,10,1.5,80,10,1024,77.125,10,7,3,122,122,176,0,2,2.1,météo défavorable,17:31:00,09:00:00,8
2022-01-08,11,8,54,10,11,9,2.2,89,9.75,1020,91.25,11,10,6,122,356,299,0,2,3.1,météo défavorable,17:32:00,09:00:00,10
2022-01-09,10,8,36,9,9,9,1.4,85,9,1015,91.75,10,9,5,176,176,299,0,2,3.1,météo défavorable,17:33:00,08:59:00,8
2022-01-10,11,10,13,10,10,11,1.1,92,9,1022,95.875,11,11,8,299,176,122,0,2,3.3,météo défavorable,17:34:00,08:59:00,10
