#### EXPORT DONNEES METEO POUR "SAINT-JACUT-DE-LA-MER" (LAT/LON: 48.59734/-2.190028)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2013-01-01,10,9,34,9,10,9,5.5,74,9.75,1020,49.875,10,8,5,113,176,116,0,2,5.8,météo défavorable,17:24:00,09:01:00,10
2013-01-02,11,9,24,9,11,10,0.6,89,10,1031,66.5,11,9,6,116,122,119,0,3,2.1,météo défavorable,17:25:00,09:01:00,9
2013-01-03,12,10,23,10,12,11,0.5,95,10,1040,43,12,10,7,116,116,116,0,3,5.8,météo défavorable,17:26:00,09:01:00,10
2013-01-04,11,9,12,9,11,10,0,88,10,1040,23.75,11,9,7,113,113,113,0,3,5.8,météo défavorable,17:27:00,09:01:00,10
2013-01-05,10,9,14,9,10,9,0.1,92,10,1038,34.625,10,8,7,116,116,113,0,2,5.8,météo défavorable,17:28:00,09:01:00,9
2013-01-06,9,7,17,8,9,9,0,90,10,1035,27.625,9,7,5,113,116,116,0,2,5.8,météo défavorable,17:30:00,09:00:00,8
2013-01-07,9,7,20,7,8,9,0,93,10,1030,43.75,9,7,4,116,116,116,0,3,6.8,météo défavorable,17:31:00,09:00:00,7
2013-01-08,11,9,24,9,11,10,0.2,89,10,1027,54.375,11,9,6,116,113,122,0,3,8.3,météo défavorable,17:32:00,09:00:00,9
2013-01-09,11,10,19,10,11,11,2.7,95,4,1024,92.25,11,10,8,122,176,122,0,2,3.1,météo défavorable,17:33:00,08:59:00,10
2013-01-10,11,9,35,10,11,10,9.7,93,9.875,1019,68.75,11,10,7,119,176,176,0,3,3.3,météo défavorable,17:35:00,08:59:00,10
2013-01-11,10,8,20,9,10,10,1.2,86,9.625,1021,47.75,10,8,6,176,116,116,0,2,6.9,météo défavorable,17:36:00,08:58:00,9
2013-01-12,10,7,28,8,10,8,9.6,83,9.375,1010,56.5,10,7,4,305,116,116,0,2,8.7,météo défavorable,17:37:00,08:58:00,8
2013-01-13,8,5,30,6,8,5,2,85,9.625,1022,59,8,6,2,119,299,119,0,3,5.1,météo très défavorable,17:39:00,08:57:00,7
2013-01-14,8,4,30,6,8,8,5.5,87,6.25,1021,91.25,8,6,3,176,119,176,0,2,3.3,météo très défavorable,17:40:00,08:57:00,4
2013-01-15,8,6,42,6,7,7,5,70,9.875,1013,54.625,8,2,1,113,119,176,0,2,8.7,météo très défavorable,17:41:00,08:56:00,6
2013-01-16,6,3,29,6,5,4,0.7,85,7.375,1016,71,6,4,0,299,116,116,0,1,6.9,météo très défavorable,17:43:00,08:55:00,6
2013-01-17,5,2,27,2,4,4,0,65,10,1018,42.625,5,0,-3,116,116,116,0,2,8.7,météo très défavorable,17:44:00,08:54:00,2
2013-01-18,6,1,46,1,4,6,14.3,96,4.125,1008,97,6,4,-7,371,122,176,0,1,3.3,météo très défavorable,17:46:00,08:54:00,1
2013-01-19,5,4,32,4,5,5,0.3,93,8,996,91.875,5,4,0,122,122,119,0.2,1,3.4,météo très défavorable,17:47:00,08:53:00,4
2013-01-20,5,2,23,4,4,3,1,79,9.25,996,73.75,5,2,-1,176,119,116,0.9,1,3.4,météo très défavorable,17:49:00,08:52:00,5
2013-01-21,6,3,30,4,5,6,19.2,90,8.5,999,78,6,3,-0,299,299,116,5.1,1,3.4,météo très défavorable,17:50:00,08:51:00,4
2013-01-22,6,5,22,5,6,6,2.1,94,8.5,998,67,6,4,1,119,176,116,0,1,3.4,météo très défavorable,17:52:00,08:50:00,5
2013-01-23,7,5,28,7,7,6,2.6,85,10,1006,74.25,7,5,3,176,176,119,0,2,3.4,météo très défavorable,17:53:00,08:49:00,7
2013-01-24,7,4,19,5,7,6,0.4,83,9.25,1018,53.5,7,4,2,116,122,116,0,1,5.2,météo très défavorable,17:55:00,08:48:00,5
2013-01-25,7,2,32,2,5,7,7.9,89,7.375,1019,59,7,6,-3,116,122,299,0,2,8.7,météo très défavorable,17:56:00,08:47:00,3
2013-01-26,10,8,40,9,10,9,16.3,76,9.25,1015,57.375,10,8,4,116,113,119,0,2,8.7,météo très défavorable,17:58:00,08:45:00,9
2013-01-27,12,9,41,12,10,9,8.9,94,9.625,1008,54.375,12,11,5,356,113,116,0,2,8.7,météo défavorable,17:59:00,08:44:00,11
2013-01-28,11,8,42,8,10,11,1.5,84,9,1015,59.125,11,10,4,116,119,119,0,2,6.5,météo défavorable,18:01:00,08:43:00,8
2013-01-29,13,11,45,12,13,13,11,94,7.125,1011,85.625,13,12,8,176,119,122,0,3,4.8,météo défavorable,18:02:00,08:42:00,11
2013-01-30,13,8,40,12,11,10,3.6,94,9.625,1023,41.625,13,11,7,305,113,113,0,3,9.6,météo correcte,18:04:00,08:41:00,13
2013-01-31,11,8,42,9,11,10,0.8,90,9,1023,43,11,8,5,116,113,116,0,3,8.2,météo défavorable,18:06:00,08:39:00,9
2013-02-01,10,8,32,9,10,8,7.3,94,4.125,1016,84.875,10,9,4,122,176,116,0,2,4.8,météo défavorable,18:07:00,08:38:00,9
2013-02-02,8,6,43,8,7,7,3.3,73,10,1026,39.5,8,5,2,176,113,113,0,2,9.7,météo très défavorable,18:09:00,08:36:00,8
2013-02-03,10,6,36,6,9,10,2.9,90,6.875,1028,68.5,10,9,2,116,122,122,0,3,4.9,météo défavorable,18:10:00,08:35:00,6
2013-02-04,10,9,39,10,10,9,0.7,96,8.75,1023,74.625,10,10,6,122,116,122,0,2,8.2,météo défavorable,18:12:00,08:34:00,10
2013-02-05,9,6,55,8,7,7,12.9,78,9,1019,69.75,9,5,1,176,176,113,0,2,8.3,météo défavorable,18:14:00,08:32:00,9
2013-02-06,8,6,52,8,7,7,11.5,75,9.625,1021,60.75,8,4,2,299,299,113,0,2,8.3,météo très défavorable,18:15:00,08:31:00,8
2013-02-07,7,6,28,6,7,7,2.3,68,8.875,1023,75.125,7,4,2,119,116,176,0,2,6.6,météo très défavorable,18:17:00,08:29:00,6
2013-02-08,8,7,30,7,7,7,3.1,80,9.75,1024,89.125,8,6,2,176,119,176,0,2,6.6,météo très défavorable,18:19:00,08:28:00,7
2013-02-09,9,7,23,8,9,9,5.2,85,8.875,1024,89.875,9,7,5,176,176,176,0,2,5,météo défavorable,18:20:00,08:26:00,7
2013-02-10,11,7,32,9,11,8,16.3,94,7.125,1012,87,11,8,5,176,119,176,0,2,5,météo très défavorable,18:22:00,08:24:00,9
2013-02-11,8,6,15,6,8,7,0.2,77,10,1006,29.125,8,4,3,113,113,116,0,3,10,météo très défavorable,18:23:00,08:23:00,6
2013-02-12,6,5,22,6,6,6,2,82,8,1019,82.875,6,3,2,119,122,119,0,2,5,météo très défavorable,18:25:00,08:21:00,6
2013-02-13,9,5,25,5,6,7,3.6,88,7.875,1021,82.375,9,8,1,122,176,176,0,1,5,météo très défavorable,18:27:00,08:19:00,5
2013-02-14,10,8,32,10,10,9,6.9,95,8.25,1019,36.75,10,9,6,299,113,113,0,2,10,météo défavorable,18:28:00,08:18:00,10
2013-02-15,10,7,20,8,10,8,1.2,83,10,1024,28.625,10,6,5,116,116,113,0,2,8.3,météo défavorable,18:30:00,08:16:00,8
2013-02-16,9,5,16,6,9,8,0,84,10,1024,18.375,9,5,3,113,113,113,0,3,10.2,météo défavorable,18:32:00,08:14:00,7
2013-02-17,8,5,32,6,8,7,0,82,10,1021,11.125,8,5,1,113,113,113,0,2,10.2,météo très défavorable,18:33:00,08:13:00,7
2013-02-18,9,3,30,3,7,8,0,80,10,1017,2.625,9,2,-2,113,113,113,0,2,10.2,météo très défavorable,18:35:00,08:11:00,4
2013-02-19,9,4,22,4,7,8,0,80,10,1018,6.25,9,4,-1,113,113,113,0,3,10.3,météo très défavorable,18:36:00,08:09:00,5
2013-02-20,9,5,30,5,7,8,0,78,10,1018,1.75,9,4,2,113,113,113,0,3,10.3,météo très défavorable,18:38:00,08:07:00,6
2013-02-21,5,2,40,2,4,3,0,79,10,1018,0.25,5,2,-4,113,113,113,0,2,10.3,météo très défavorable,18:40:00,08:05:00,4
2013-02-22,3,1,41,1,3,3,0,71,5.75,1017,34.25,3,0,-6,113,113,116,0,2,10.4,météo très défavorable,18:41:00,08:04:00,1
2013-02-23,4,3,30,3,4,3,0.9,75,3.875,1022,88.25,4,0,-2,176,176,122,0.8,1,5.2,météo très défavorable,18:43:00,08:02:00,3
2013-02-24,4,3,32,3,4,4,1.3,69,6.375,1026,83.125,4,0,-2,119,119,119,0.5,1,5.2,météo très défavorable,18:45:00,08:00:00,3
2013-02-25,6,4,34,4,5,6,1.3,82,4.5,1028,88.75,6,3,-1,122,176,122,0.3,1,5.4,météo très défavorable,18:46:00,07:58:00,4
2013-02-26,6,5,34,6,5,5,1.9,85,8.625,1031,89.875,6,4,-0,176,119,119,0.7,1,5.5,météo très défavorable,18:48:00,07:56:00,6
2013-02-27,7,5,32,5,7,6,0.7,84,4,1032,85.125,7,4,0,119,176,119,0,1,5.5,météo très défavorable,18:49:00,07:54:00,5
2013-02-28,6,5,27,5,6,5,0.4,85,9.375,1029,83.875,6,3,0,119,119,119,0,1,5.5,météo très défavorable,18:51:00,07:52:00,5
2013-03-01,6,4,28,4,6,6,0.1,79,10,1027,81.625,6,3,-0,122,119,119,0,1,5.5,météo très défavorable,18:53:00,07:50:00,4
2013-03-02,6,4,26,5,6,5,0,79,8.75,1027,57.75,6,2,-0,119,116,116,0,2,11.1,météo très défavorable,18:54:00,07:49:00,5
2013-03-03,7,3,25,3,5,7,0,87,10,1024,34.875,7,3,-2,116,113,113,0,2,11.1,météo très défavorable,18:56:00,07:47:00,3
2013-03-04,10,4,22,4,7,9,0,88,10,1015,5.5,10,6,-1,113,113,113,0,3,11.1,météo très défavorable,18:57:00,07:45:00,4
2013-03-05,11,7,28,7,10,11,0,91,9.375,1004,56.875,11,9,3,116,116,122,0,3,5.6,météo défavorable,18:59:00,07:43:00,8
2013-03-06,13,9,26,9,10,11,1.1,95,9.375,998,69.625,13,9,6,119,119,119,0,3,7.3,météo défavorable,19:00:00,07:41:00,9
2013-03-07,13,9,23,9,13,12,2.7,95,7.25,995,65.25,13,10,6,122,116,116,0,3,10.2,météo défavorable,19:02:00,07:39:00,9
2013-03-08,12,9,19,9,12,12,12.8,90,9.5,1001,52.625,12,9,7,116,113,119,0,3,11.6,météo défavorable,19:04:00,07:37:00,10
2013-03-09,12,8,15,8,11,11,0.7,89,9.25,1002,24,12,8,5,113,113,176,0,4,11.6,météo défavorable,19:05:00,07:35:00,8
2013-03-10,10,6,37,8,10,7,10.1,93,7.75,1001,84.125,10,7,4,122,119,176,0,2,5.9,météo défavorable,19:07:00,07:33:00,9
2013-03-11,5,2,61,4,3,2,47.6,93,3.125,1000,100,5,4,-6,356,356,356,0,1,5.9,météo très défavorable,19:08:00,07:30:00,5
2013-03-12,4,2,49,3,2,3,10.6,83,1.25,1010,91.75,4,0,-5,299,299,176,0,1,5.9,météo très défavorable,19:10:00,07:28:00,3
2013-03-13,6,3,30,5,6,6,2.6,72,9.5,1015,68.125,6,1,-0,176,116,176,0.6,1,7.3,météo très défavorable,19:11:00,07:26:00,3
2013-03-14,6,3,19,4,5,4,2.6,67,9.625,1019,30.25,6,1,1,113,113,113,0.6,1,11.6,météo très défavorable,19:13:00,07:24:00,5
2013-03-15,10,3,36,4,10,9,0.6,81,9.75,1018,53.5,10,6,-1,116,116,119,0,3,6,météo très défavorable,19:14:00,07:22:00,3
2013-03-16,10,7,37,7,9,8,7.8,91,8.375,1004,73.25,10,6,2,176,113,176,0,2,8.8,météo défavorable,19:16:00,07:20:00,8
2013-03-17,8,6,35,7,7,8,5.9,83,9.75,995,42.875,8,4,2,119,299,116,0,2,11.6,météo très défavorable,19:17:00,07:18:00,6
2013-03-18,9,5,23,5,8,7,2.1,83,9.625,995,40.625,9,4,2,116,113,116,0,2,11.6,météo très défavorable,19:19:00,07:16:00,5
2013-03-19,9,5,14,5,9,7,7.5,81,9.625,997,52.75,9,4,2,113,119,305,0,2,10.2,météo très défavorable,19:20:00,07:14:00,5
2013-03-20,8,5,26,6,8,7,2.2,82,9.375,1014,43.5,8,4,2,116,176,113,0,2,11.6,météo très défavorable,19:22:00,07:12:00,5
2013-03-21,8,7,35,7,8,8,27.4,94,7.25,1013,91,8,7,3,299,356,356,0,3,6.1,météo très défavorable,19:23:00,07:10:00,7
2013-03-22,12,8,37,8,10,10,4.5,91,9.125,1005,67.875,12,10,3,119,176,299,0,2,6.1,météo défavorable,19:25:00,07:08:00,8
2013-03-23,10,6,19,7,10,9,0.1,88,9.75,1006,24.5,10,7,5,113,116,116,0,3,11.6,météo défavorable,19:26:00,07:05:00,7
2013-03-24,7,5,34,7,7,6,0.1,91,8,1009,91.875,7,6,1,119,122,122,0,2,6.1,météo très défavorable,19:28:00,07:03:00,7
2013-03-25,6,4,31,4,6,5,0.4,83,8.375,1010,82.625,6,3,0,119,119,122,0,2,6.1,météo très défavorable,19:29:00,07:01:00,4
2013-03-26,6,4,23,4,6,5,0.8,82,9.625,1010,77.5,6,2,0,122,116,119,0,2,7.7,météo très défavorable,19:31:00,06:59:00,5
2013-03-27,6,4,19,4,6,5,0.9,83,9.5,1009,64.5,6,2,1,122,176,113,0.3,2,7.7,météo très défavorable,19:32:00,06:57:00,4
2013-03-28,5,3,18,3,5,4,0,79,9.625,1012,23,5,0,-1,119,113,113,0,2,11.6,météo très défavorable,19:34:00,06:55:00,3
2013-03-29,5,3,38,3,4,5,6.3,82,6.125,1010,82.75,5,2,-3,122,122,299,0.1,2,7.7,météo très défavorable,19:35:00,06:53:00,3
2013-03-30,5,3,36,4,5,5,7,89,8.25,1013,74.375,5,3,-2,299,119,116,1,1,10.3,météo très défavorable,19:37:00,06:51:00,4
2013-03-31,7,2,30,2,5,7,0,79,9.375,1013,24.375,7,1,-3,113,116,113,0,2,11.6,météo très défavorable,19:38:00,06:49:00,3
2013-04-01,7,3,40,3,6,7,0,75,10,1006,39.5,7,1,-3,113,116,119,0,3,10.3,météo très défavorable,20:39:00,07:47:00,3
2013-04-02,7,5,36,5,7,6,0,75,10,1014,10.5,7,1,0,116,113,113,0,3,11.6,météo très défavorable,20:41:00,07:45:00,5
2013-04-03,6,4,40,5,6,4,0.1,72,10,1015,34.25,6,0,-1,113,119,116,0,3,11.6,météo très défavorable,20:42:00,07:43:00,5
2013-04-04,5,4,43,5,5,5,3.2,79,10,1012,91.625,5,1,-1,176,176,122,1.4,1,6.5,météo très défavorable,20:44:00,07:41:00,5
2013-04-05,6,4,43,4,5,5,8.4,80,9.375,1018,95.25,6,2,-1,176,299,299,1.9,1,6.5,météo très défavorable,20:45:00,07:39:00,4
2013-04-06,6,4,31,5,6,5,1.2,73,9.75,1025,31,6,1,-1,116,113,113,1,2,10.3,météo très défavorable,20:47:00,07:37:00,5
2013-04-07,8,4,24,4,7,8,0,82,10,1024,70.125,8,3,-1,113,122,122,0,3,9.1,météo très défavorable,20:48:00,07:35:00,4
2013-04-08,10,4,19,4,9,9,9,91,9.625,1006,71.125,10,7,0,119,176,176,0,2,10.3,météo très défavorable,20:50:00,07:32:00,5
2013-04-09,11,7,28,7,11,9,12.1,88,9.375,1002,65.375,11,8,3,113,113,176,0,2,7.9,météo défavorable,20:51:00,07:30:00,8
2013-04-10,11,8,44,8,9,11,19.3,95,7.875,1006,86.125,11,10,4,119,356,356,0,2,6.6,météo très défavorable,20:53:00,07:28:00,8
2013-04-11,12,8,23,9,12,11,3,94,10,1001,48.125,12,9,6,119,113,113,0,3,9.1,météo défavorable,20:54:00,07:26:00,9
2013-04-12,10,7,37,8,10,10,2.6,92,9.875,1011,45.25,10,8,4,116,299,113,0,3,9.1,météo défavorable,20:56:00,07:24:00,9
2013-04-13,11,7,44,9,11,11,10.2,94,9.125,1014,68.625,11,10,5,305,305,176,0,3,6.7,météo défavorable,20:57:00,07:22:00,8
2013-04-14,16,10,31,11,16,14,1.5,87,9.875,1017,45.625,16,11,8,113,113,176,0,3,11.6,météo correcte,20:59:00,07:20:00,11
2013-04-15,14,9,22,9,13,13,0.6,96,10,1020,29.125,14,9,6,116,113,113,0,3,11.6,météo correcte,21:00:00,07:18:00,9
2013-04-16,12,9,27,11,12,11,2.9,94,6.875,1020,80.75,12,11,7,119,176,299,0,4,6.9,météo défavorable,21:02:00,07:17:00,10
2013-04-17,17,9,33,10,15,14,0.3,89,9.375,1019,39.25,17,10,7,113,113,119,0,3,11.6,météo correcte,21:03:00,07:15:00,10
2013-04-18,11,8,36,8,11,10,1.6,87,10,1025,5.125,11,8,4,113,113,113,0,4,10.4,météo défavorable,21:05:00,07:13:00,8
2013-04-19,10,8,29,8,10,9,0.3,84,10,1032,8.625,10,7,4,113,113,113,0,3,11.6,météo défavorable,21:06:00,07:11:00,8
2013-04-20,10,6,21,8,10,8,0,85,10,1033,0,10,6,6,113,113,113,0,3,11.6,météo défavorable,21:08:00,07:09:00,8
2013-04-21,10,4,13,5,9,10,0,76,9.375,1028,19.5,10,8,5,113,113,119,0,3,11.6,météo très défavorable,21:09:00,07:07:00,4
2013-04-22,11,7,19,8,11,10,0.2,89,7.375,1021,51.25,11,9,5,116,119,122,0,3,10.5,météo défavorable,21:11:00,07:05:00,7
2013-04-23,12,9,21,10,12,12,0.7,94,9,1025,38.125,12,10,7,116,113,116,0,3,11.6,météo défavorable,21:12:00,07:03:00,10
2013-04-24,14,8,12,9,14,12,0.1,94,9,1026,20.375,14,11,7,116,113,113,0,4,10.5,météo correcte,21:14:00,07:01:00,8
2013-04-25,16,9,17,10,16,11,0,95,9,1025,19,16,12,9,116,113,113,0,4,14.2,météo correcte,21:15:00,06:59:00,9
2013-04-26,9,7,33,9,9,9,1.4,85,9.375,1019,28.375,9,8,5,176,113,113,0,3,12.3,météo défavorable,21:17:00,06:58:00,9
2013-04-27,8,7,32,7,7,8,3.4,77,9.625,1019,27.625,8,4,3,116,176,113,0,3,14.5,météo très défavorable,21:18:00,06:56:00,7
2013-04-28,9,7,12,7,9,9,0,79,9.75,1021,29.625,9,4,5,116,116,113,0,3,14.5,météo défavorable,21:20:00,06:54:00,7
2013-04-29,10,8,24,9,10,9,0.3,78,9,1023,21.875,10,7,6,113,113,113,0,3,13.4,météo défavorable,21:21:00,06:52:00,9
2013-04-30,10,8,35,9,10,10,0,79,10,1023,17.375,10,6,5,116,113,116,0,4,14.5,météo défavorable,21:22:00,06:51:00,9
2013-05-01,10,8,36,8,9,10,1.4,87,10,1023,16.5,10,7,4,113,113,116,0,4,14.5,météo défavorable,21:24:00,06:49:00,8
2013-05-02,11,9,25,9,11,10,2.7,82,10,1024,7.875,11,7,6,116,113,113,0,3,13.4,météo défavorable,21:25:00,06:47:00,9
2013-05-03,11,8,17,9,11,10,0,86,10,1023,5.75,11,8,7,113,113,113,0,4,14.5,météo défavorable,21:27:00,06:46:00,9
2013-05-04,13,8,24,9,13,12,0,90,10,1024,20.75,13,9,6,113,116,113,0,3,13.5,météo correcte,21:28:00,06:44:00,8
2013-05-05,13,8,12,9,12,11,0,90,10,1024,16.375,13,10,8,113,113,113,0,3,14.5,météo correcte,21:30:00,06:42:00,8
2013-05-06,15,8,14,9,14,15,0.1,87,9.875,1023,10.125,15,10,7,113,113,113,0,5,14.5,météo correcte,21:31:00,06:41:00,9
2013-05-07,17,11,17,11,15,16,3.1,85,8,1017,54.375,17,12,10,116,116,116,0,5,14.5,météo correcte,21:33:00,06:39:00,11
2013-05-08,14,8,33,12,14,11,8,93,9.25,1014,54.5,14,12,9,176,119,113,0,3,10.4,météo correcte,21:34:00,06:38:00,13
