#### EXPORT DONNEES METEO POUR "SAINT-JACUT-DE-LA-MER" (LAT/LON: 48.59734/-2.190028)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2012-01-01,13,10,40,13,13,12,13.7,94,6.125,1015,93.125,13,12,10,122,305,356,0,3,2.1,météo défavorable,17:23:00,09:01:00,13
2012-01-02,10,8,36,9,9,9,5.1,73,9.625,1019,33,10,6,4,113,113,116,0,2,5.8,météo défavorable,17:24:00,09:01:00,9
2012-01-03,13,10,61,12,13,11,7.3,91,6.5,1017,77.25,13,11,8,122,122,113,0,3,2.1,météo défavorable,17:25:00,09:01:00,11
2012-01-04,11,9,38,10,11,11,0.6,79,10,1029,75.625,11,8,6,119,119,119,0,2,2.1,météo défavorable,17:26:00,09:01:00,10
2012-01-05,12,10,59,11,12,11,2.1,94,6,1023,67.75,12,11,7,176,176,113,0,3,3.9,météo défavorable,17:28:00,09:01:00,11
2012-01-06,11,9,31,9,11,10,0.2,77,9,1031,53.875,11,10,6,116,119,119,0,2,5.8,météo défavorable,17:29:00,09:01:00,10
2012-01-07,11,8,35,9,10,8,1,80,9.625,1029,70.375,11,10,5,116,176,119,0,2,3.9,météo défavorable,17:30:00,09:00:00,9
2012-01-08,11,9,27,10,11,11,1.2,88,7,1032,79.125,11,10,6,119,119,119,0,2,3.1,météo défavorable,17:31:00,09:00:00,10
2012-01-09,11,8,23,9,10,9,1.6,84,9.125,1032,64.375,11,10,6,116,176,116,0,2,5,météo défavorable,17:32:00,09:00:00,9
2012-01-10,11,8,12,9,10,9,0.2,86,10,1036,1.125,11,8,6,113,113,113,0,2,8.3,météo défavorable,17:34:00,08:59:00,9
2012-01-11,10,6,9,6,10,8,0,75,10,1037,7.75,10,4,5,113,116,113,0,3,8.7,météo défavorable,17:35:00,08:59:00,6
2012-01-12,11,7,26,8,11,10,0,83,10,1034,37,11,9,5,113,113,119,0,3,8.7,météo défavorable,17:36:00,08:58:00,7
2012-01-13,10,7,18,10,9,8,0.3,81,9.375,1033,40.25,10,9,6,116,116,113,0,3,8.7,météo défavorable,17:37:00,08:58:00,10
2012-01-14,6,4,26,5,6,5,0,86,10,1030,8.75,6,4,0,113,113,113,0,2,8.7,météo très défavorable,17:39:00,08:57:00,6
2012-01-15,5,3,32,3,5,5,0,76,10,1023,66.125,5,0,-3,122,122,113,0,2,8.7,météo très défavorable,17:40:00,08:56:00,3
2012-01-16,6,3,19,3,5,5,0,73,10,1025,4.375,6,0,-1,113,113,113,0,2,8.7,météo très défavorable,17:42:00,08:56:00,3
