#### EXPORT DONNEES METEO POUR "SAINT-JACUT-DE-LA-MER" (LAT/LON: 48.59734/-2.190028)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2015-01-01,11,5,33,8,11,10,0,90,10,1035,28.625,11,9,4,116,113,116,0,3,5.8,météo défavorable,17:24:00,09:01:00,7
2015-01-02,12,7,30,12,11,9,2.2,96,8,1037,38,12,11,8,176,113,113,0,3,5.8,météo défavorable,17:25:00,09:01:00,12
2015-01-03,13,8,46,12,13,12,1.1,94,8.375,1034,75.125,13,12,9,122,119,119,0,4,3.9,météo défavorable,17:26:00,09:01:00,8
2015-01-04,12,10,9,11,11,10,1.1,93,10,1035,69.625,12,11,10,119,119,116,0,3,5.8,météo défavorable,17:27:00,09:01:00,11
2015-01-05,11,8,21,9,10,10,0.1,88,10,1033,60,11,8,6,116,116,122,0,2,5.8,météo défavorable,17:28:00,09:01:00,9
2015-01-06,11,7,28,11,11,9,1.4,93,9,1029,41.75,11,9,6,119,122,113,0,3,3.9,météo défavorable,17:29:00,09:01:00,10
2015-01-07,10,6,28,6,9,9,1.5,77,8.25,1029,38.25,10,8,2,113,113,122,0,3,5.8,météo défavorable,17:30:00,09:00:00,7
2015-01-08,12,9,39,11,12,10,16.5,95,8,1034,63.625,12,11,8,122,176,113,0,3,6.8,météo très défavorable,17:31:00,09:00:00,11
2015-01-09,14,11,43,13,13,13,2.4,95,9.75,1032,75.75,14,13,9,122,116,119,0,3,3.1,météo défavorable,17:33:00,09:00:00,11
2015-01-10,13,9,47,13,13,10,2.6,95,7.375,1028,76.125,13,12,7,119,122,119,0,3,3.3,météo défavorable,17:34:00,08:59:00,13
2015-01-11,10,9,39,9,10,9,1.8,72,9.875,1033,54.5,10,6,4,119,116,116,0,2,6.9,météo défavorable,17:35:00,08:59:00,9
2015-01-12,13,9,44,11,12,12,1.1,88,9,1027,72.375,13,11,7,119,122,122,0,3,5.1,météo défavorable,17:37:00,08:58:00,10
2015-01-13,12,7,39,11,11,9,22.8,91,7.625,1010,69.625,12,11,6,356,113,119,0,3,6.9,météo très défavorable,17:38:00,08:57:00,12
2015-01-14,11,7,41,8,10,10,11.2,77,9.875,1014,78.25,11,8,3,176,119,122,0,2,5.1,météo défavorable,17:39:00,08:57:00,8
2015-01-15,12,8,44,11,10,8,15.4,85,8.375,1003,64.25,12,9,5,356,176,116,0,2,5.1,météo défavorable,17:41:00,08:56:00,12
