#### EXPORT DONNEES METEO POUR "SAINT-JACUT-DE-LA-MER" (LAT/LON: 48.59734/-2.190028)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2009-01-01,6,4,30,4,4,6,0,82,10,1026,28,6,1,-2,113,113,116,0,2,5.8,météo très défavorable,17:24:00,09:01:00,4
2009-01-02,5,4,37,4,5,4,0,85,10,1026,18,5,2,-1,116,113,113,0,2,5.8,météo très défavorable,17:25:00,09:01:00,4
2009-01-03,5,2,32,2,4,3,0,84,10,1026,1.125,5,1,-4,113,113,113,0,2,5.8,météo très défavorable,17:26:00,09:01:00,3
2009-01-04,4,1,12,1,3,3,0,72,10,1027,32.875,4,1,-2,116,116,116,0,2,5.8,météo très défavorable,17:27:00,09:01:00,1
2009-01-05,7,4,30,6,6,5,3.6,86,6.75,1021,90.75,7,5,1,176,122,299,0,1,2.1,météo très défavorable,17:28:00,09:01:00,4
2009-01-06,4,2,31,3,3,3,0.3,79,5,1024,56.25,4,0,-3,176,116,113,0.3,1,5.8,météo très défavorable,17:30:00,09:00:00,3
2009-01-07,6,1,25,2,5,5,0.1,79,9,1028,41.25,6,3,-3,113,113,176,0,2,6.8,météo très défavorable,17:31:00,09:00:00,1
2009-01-08,7,2,27,6,7,5,0.7,85,7,1029,69,7,4,2,119,176,113,0,1,5,météo très défavorable,17:32:00,09:00:00,6
2009-01-09,3,-1,18,-1,2,2,0,83,10,1028,0.25,3,0,-6,113,113,113,0,2,8.3,météo très défavorable,17:33:00,08:59:00,-1
2009-01-10,6,1,13,1,5,5,0,65,10,1028,4.75,6,0,-1,113,113,113,0,2,8.7,météo très défavorable,17:35:00,08:59:00,2
